AUD	$
BGN	лв
BRL	R$
CAD	C$
CHF	CHF
CNY	¥
CZK	Kč
DKK	kr
EUR	€
GBP	£
HKD	HK$
HRK	kn
HUF	Ft
IDR	Rp
ILS	₪
INR	Rs.
ISK	kr
JPY	¥
KRW	₩
MXN	$
MYR	RM
NOK	kr
NZD	$
PHP	₱
PLN	zł
RON	L
RUB	руб
SEK	kr
SGD	S$
THB	฿
TRY	YTL
ZAR	R
